country_name,year,avg_value,prev_year,next_year,yoy_change,yoy_pct_change
Spain,2015,100.73,89.25,101.59,11.48,12.86
Spain,2016,101.59,100.73,104.79,0.86,0.85
Spain,2017,104.79,101.59,106.16,3.20,3.15
Spain,2018,106.16,104.79,104.35,1.37,1.31
Spain,2019,104.35,106.16,109.06,-1.81,-1.70
Spain,2020,109.06,104.35,111.51,4.71,4.51
Spain,2021,111.51,109.06,128.17,2.45,2.25
Spain,2022,128.17,111.51,143.22,16.66,14.94
Spain,2023,143.22,128.17,144.32,15.05,11.74
Spain,2024,144.32,143.22,154.15,1.10,0.77
Spain,2025,154.15,144.32,NULL,9.83,6.81
